Language,ISO 639-1 Code,Namespace,English Name,Local Name
Chinese,zh,zhwiki_namespace_0,Chinese Wikipedia,中文维基百科
English,en,enwiki_namespace_0,English Wikipedia,English Wikipedia
French,fr,frwiki_namespace_0,French Wikipedia,Wikipédia en français
Spanish,es,eswiki_namespace_0,Spanish Wikipedia,Wikipedia en español
Portuguese,pt,ptwiki_namespace_0,Portuguese Wikipedia,Wikipédia em português
German,de,dewiki_namespace_0,German Wikipedia,Deutschsprachige Wikipedia
Italian,it,itwiki_namespace_0,Italian Wikipedia,Wikipedia in italiano
Russian,ru,ruwiki_namespace_0,Russian Wikipedia,Русская Википедия
Japanese,ja,jawiki_namespace_0,Japanese Wikipedia,日本語版ウィキペディア
Korean,ko,kowiki_namespace_0,Korean Wikipedia,한국어 위키백과
Vietnamese,vi,viwiki_namespace_0,Vietnamese Wikipedia,Wikipedia tiếng Việt
Thai,th,thwiki_namespace_0,Thai Wikipedia,วิกิพีเดียภาษาไทย
Arabic,ar,arwiki_namespace_0,Arabic Wikipedia,ويكيبيديا العربية
Egyptian Arabic,arz,arzwiki_namespace_0,Egyptian Arabic Wikipedia,ويكيبيديا المصرية
